date,violentcrimes
Jan 2014,5301
Feb 2014,4846
Mar 2014,6108
Apr 2014,6468
May 2014,7457
Jun 2014,7511
Jul 2014,7478
Aug 2014,7434
Sep 2014,6849
Oct 2014,6685
Nov 2014,5792
Dec 2014,5992
Jan 2015,5740
Feb 2015,4546
Mar 2015,6327
Apr 2015,6326
May 2015,7457
Jun 2015,7136
Jul 2015,7268
Aug 2015,7338
Sep 2015,6930
Oct 2015,6574
Nov 2015,5766
Dec 2015,6112
Jan 2016,6119
Feb 2016,5194
Mar 2016,6287
Apr 2016,5907
May 2016,6993
Jun 2016,7069
Jul 2016,7397
Aug 2016,7440
Sep 2016,6907
Oct 2016,7097
Nov 2016,6560
Dec 2016,5987
Jan 2017,6219
Feb 2017,5670
Mar 2017,6276
Apr 2017,6782
May 2017,7506
Jun 2017,7697
Jul 2017,7766
Aug 2017,7552
Sep 2017,7389
Oct 2017,7122
Nov 2017,6469
Dec 2017,6262
Jan 2018,6055
Feb 2018,5346
Mar 2018,6465
Apr 2018,6296
May 2018,8015
Jun 2018,7583
Jul 2018,7918
Aug 2018,7612
Sep 2018,7145
Oct 2018,7052
Nov 2018,6144
Dec 2018,6464
